날짜,시가,고가,저가,종가,MA5,MA20,MA60,MA120,거래량
2020-01-07,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-08,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-09,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-10,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-13,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-14,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-15,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-16,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-17,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-20,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-21,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-22,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-23,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-28,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-29,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-30,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-01-31,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-03,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-04,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-05,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-06,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-07,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-10,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-11,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-12,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-13,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-14,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-17,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-18,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-19,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-20,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-21,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-24,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-25,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-26,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-27,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-02-28,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-02,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-03,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-04,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-05,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-06,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-09,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-10,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-11,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-12,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-13,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-16,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-17,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-18,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-19,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-20,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-23,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-24,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-25,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-26,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-27,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-30,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-03-31,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-01,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-02,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-03,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-06,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-07,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-08,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-09,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-10,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-13,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-14,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-16,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-17,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-20,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-21,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-22,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-23,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-24,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-27,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-28,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-04-29,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-04,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-06,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-07,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-08,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-11,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-12,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-13,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-14,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-15,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-18,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-19,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-20,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-21,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-22,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-25,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-26,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-27,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-28,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-05-29,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-01,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-02,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-03,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-04,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-05,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-08,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-09,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-10,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-11,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-12,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-15,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-16,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-17,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-18,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-19,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-22,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-23,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-24,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-25,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-26,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-29,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-06-30,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-01,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-02,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-03,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-06,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-07,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-08,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-09,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-10,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-13,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-14,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-15,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-16,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-17,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-20,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-21,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-22,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-23,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-24,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-27,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-28,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-29,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-30,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-07-31,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-03,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-04,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-05,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-06,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-07,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-10,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-11,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-12,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-13,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-14,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-18,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-19,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-20,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-21,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-24,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-25,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-26,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-27,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-28,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-08-31,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-01,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-02,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-03,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-04,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-07,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-08,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-09,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-10,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-11,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-14,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-15,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-16,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-17,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-18,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-21,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-22,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-23,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-24,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-25,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-28,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-09-29,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-10-05,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-10-06,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-10-07,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-10-08,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-10-12,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-10-13,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
2020-10-14,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,4961.47900390625,0
